,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF49E001,NAME_M,AF49M001
7705,G0600590074801,2012-2016,,,California,6,Orange County,59,,,74801,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 748.01, Orange County, California",63317.0,"Census Tract 748.01, Orange County, California",7367.0
7706,G0600590074802,2012-2016,,,California,6,Orange County,59,,,74802,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 748.02, Orange County, California",51273.0,"Census Tract 748.02, Orange County, California",6014.0
7707,G0600590074803,2012-2016,,,California,6,Orange County,59,,,74803,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 748.03, Orange County, California",55486.0,"Census Tract 748.03, Orange County, California",13986.0
7708,G0600590074805,2012-2016,,,California,6,Orange County,59,,,74805,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 748.05, Orange County, California",45354.0,"Census Tract 748.05, Orange County, California",4307.0
7709,G0600590074806,2012-2016,,,California,6,Orange County,59,,,74806,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 748.06, Orange County, California",50000.0,"Census Tract 748.06, Orange County, California",10025.0
7710,G0600590074901,2012-2016,,,California,6,Orange County,59,,,74901,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 749.01, Orange County, California",47071.0,"Census Tract 749.01, Orange County, California",3588.0
7711,G0600590074902,2012-2016,,,California,6,Orange County,59,,,74902,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 749.02, Orange County, California",40345.0,"Census Tract 749.02, Orange County, California",5252.0
7712,G0600590075002,2012-2016,,,California,6,Orange County,59,,,75002,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 750.02, Orange County, California",26483.0,"Census Tract 750.02, Orange County, California",9178.0
7713,G0600590075003,2012-2016,,,California,6,Orange County,59,,,75003,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 750.03, Orange County, California",33125.0,"Census Tract 750.03, Orange County, California",6290.0
7714,G0600590075004,2012-2016,,,California,6,Orange County,59,,,75004,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 750.04, Orange County, California",27730.0,"Census Tract 750.04, Orange County, California",5073.0
7715,G0600590075100,2012-2016,,,California,6,Orange County,59,,,75100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 751, Orange County, California",42917.0,"Census Tract 751, Orange County, California",8746.0
7716,G0600590075201,2012-2016,,,California,6,Orange County,59,,,75201,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 752.01, Orange County, California",49268.0,"Census Tract 752.01, Orange County, California",11326.0
7717,G0600590075202,2012-2016,,,California,6,Orange County,59,,,75202,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 752.02, Orange County, California",61333.0,"Census Tract 752.02, Orange County, California",10583.0
7718,G0600590075301,2012-2016,,,California,6,Orange County,59,,,75301,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 753.01, Orange County, California",59955.0,"Census Tract 753.01, Orange County, California",18571.0
7719,G0600590075302,2012-2016,,,California,6,Orange County,59,,,75302,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 753.02, Orange County, California",67849.0,"Census Tract 753.02, Orange County, California",8452.0
7720,G0600590075303,2012-2016,,,California,6,Orange County,59,,,75303,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 753.03, Orange County, California",74850.0,"Census Tract 753.03, Orange County, California",24099.0
7721,G0600590075401,2012-2016,,,California,6,Orange County,59,,,75401,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 754.01, Orange County, California",78385.0,"Census Tract 754.01, Orange County, California",16998.0
7722,G0600590075403,2012-2016,,,California,6,Orange County,59,,,75403,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 754.03, Orange County, California",63218.0,"Census Tract 754.03, Orange County, California",5517.0
7723,G0600590075404,2012-2016,,,California,6,Orange County,59,,,75404,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 754.04, Orange County, California",53864.0,"Census Tract 754.04, Orange County, California",11446.0
7724,G0600590075405,2012-2016,,,California,6,Orange County,59,,,75405,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 754.05, Orange County, California",63563.0,"Census Tract 754.05, Orange County, California",6317.0
7725,G0600590075504,2012-2016,,,California,6,Orange County,59,,,75504,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.04, Orange County, California",69783.0,"Census Tract 755.04, Orange County, California",6091.0
7726,G0600590075505,2012-2016,,,California,6,Orange County,59,,,75505,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.05, Orange County, California",70863.0,"Census Tract 755.05, Orange County, California",9393.0
7727,G0600590075506,2012-2016,,,California,6,Orange County,59,,,75506,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.06, Orange County, California",77765.0,"Census Tract 755.06, Orange County, California",8101.0
7728,G0600590075507,2012-2016,,,California,6,Orange County,59,,,75507,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.07, Orange County, California",63490.0,"Census Tract 755.07, Orange County, California",9393.0
7729,G0600590075512,2012-2016,,,California,6,Orange County,59,,,75512,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.12, Orange County, California",65241.0,"Census Tract 755.12, Orange County, California",10272.0
7730,G0600590075513,2012-2016,,,California,6,Orange County,59,,,75513,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.13, Orange County, California",67208.0,"Census Tract 755.13, Orange County, California",11411.0
7731,G0600590075514,2012-2016,,,California,6,Orange County,59,,,75514,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.14, Orange County, California",42974.0,"Census Tract 755.14, Orange County, California",3855.0
7732,G0600590075515,2012-2016,,,California,6,Orange County,59,,,75515,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 755.15, Orange County, California",71643.0,"Census Tract 755.15, Orange County, California",12167.0
7733,G0600590075603,2012-2016,,,California,6,Orange County,59,,,75603,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 756.03, Orange County, California",102733.0,"Census Tract 756.03, Orange County, California",18180.0
7734,G0600590075604,2012-2016,,,California,6,Orange County,59,,,75604,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 756.04, Orange County, California",154015.0,"Census Tract 756.04, Orange County, California",16790.0
7735,G0600590075605,2012-2016,,,California,6,Orange County,59,,,75605,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 756.05, Orange County, California",115000.0,"Census Tract 756.05, Orange County, California",21820.0
7736,G0600590075606,2012-2016,,,California,6,Orange County,59,,,75606,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 756.06, Orange County, California",196833.0,"Census Tract 756.06, Orange County, California",36273.0
7737,G0600590075607,2012-2016,,,California,6,Orange County,59,,,75607,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 756.07, Orange County, California",85167.0,"Census Tract 756.07, Orange County, California",13945.0
7738,G0600590075701,2012-2016,,,California,6,Orange County,59,,,75701,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 757.01, Orange County, California",80189.0,"Census Tract 757.01, Orange County, California",4875.0
7739,G0600590075702,2012-2016,,,California,6,Orange County,59,,,75702,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 757.02, Orange County, California",95119.0,"Census Tract 757.02, Orange County, California",18633.0
7740,G0600590075703,2012-2016,,,California,6,Orange County,59,,,75703,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 757.03, Orange County, California",150492.0,"Census Tract 757.03, Orange County, California",21706.0
